country;education_expenditure;youth_unemployment_rate;net_migration_rate;iso_code;region;income_group;lending_category;name;alpha.2;alpha.3;country.code;iso_3166.2;continent;sub.region;intermediate.region;region.code;sub.region.code;intermediate.region.code
bahrain;.;5.3;.;BHR;Middle East & North Africa;High income;.;.;.;.;.;.;.;.;.;.;.;.
macau;.;5.3;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
guatemala;.;5;.;GTM;Latin America & Caribbean;Upper middle income;IBRD;.;.;.;.;.;.;.;.;.;.;.
tanzania;.;3.9;.;TZA;Sub-Saharan Africa;Lower middle income;IDA;.;.;.;.;.;.;.;.;.;.;.
togo;.;3.9;.;TGO;Sub-Saharan Africa;Low income;IDA;.;.;.;.;.;.;.;.;.;.;.
kazakhstan;.;3.8;.;KAZ;Europe & Central Asia;Upper middle income;IBRD;.;.;.;.;.;.;.;.;.;.;.
thailand;.;3.7;.;THA;East Asia & Pacific;Upper middle income;IBRD;.;.;.;.;.;.;.;.;.;.;.
japan;.;3.6;.;JPN;East Asia & Pacific;High income;.;.;.;.;.;.;.;.;.;.;.;.
papua new guinea;.;3.6;.;PNG;East Asia & Pacific;Lower middle income;Blend;.;.;.;.;.;.;.;.;.;.;.
burundi;.;2.9;.;BDI;Sub-Saharan Africa;Low income;IDA;.;.;.;.;.;.;.;.;.;.;.
liberia;.;2.3;.;LBR;Sub-Saharan Africa;Low income;IDA;.;.;.;.;.;.;.;.;.;.;.
burma;.;2;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
solomon islands;.;1.3;.;SLB;East Asia & Pacific;Lower middle income;IDA;.;.;.;.;.;.;.;.;.;.;.
cambodia;.;1.1;.;KHM;East Asia & Pacific;Lower middle income;IDA;.;.;.;.;.;.;.;.;.;.;.
guinea;.;1;.;GIN;Sub-Saharan Africa;Lower middle income;IDA;.;.;.;.;.;.;.;.;.;.;.
madagascar;.;1;.;MDG;Sub-Saharan Africa;Low income;IDA;.;.;.;.;.;.;.;.;.;.;.
niger;.;0.7;.;NER;Sub-Saharan Africa;Low income;IDA;.;.;.;.;.;.;.;.;.;.;.
qatar;.;0.4;.;QAT;Middle East & North Africa;High income;.;.;.;.;.;.;.;.;.;.;.;.
country;.;.;Comparison;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
est;.;.;;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
cunha;.;.;0.00;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2020;.;.;est.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
171;.;.;Dominican;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
172;.;.;Kiribati;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
173;.;.;Liberia;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
174;.;.;Bangladesh;.;.;.;.;Comoros;KM;COM;174;ISO 3166-2:KM;Africa;Sub-Saharan Africa;Eastern Africa;2;202;14
175;.;.;Saint;.;.;.;.;Mayotte;YT;MYT;175;ISO 3166-2:YT;Africa;Sub-Saharan Africa;Eastern Africa;2;202;14
176;.;.;Estonia;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
177;.;.;Nepal;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
